Afkomst,Gerecht,Ingrediënten,Wijnsoort,Smaakprofiel,Wijnstijl
Frankrijk,Boeuf Bourguignon de Lyon met verse basilicum,"ui, rundvlees, rode wijn, tijm",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Poulet à la Crème Régionale met verse basilicum,"kip, boter, champignons, room",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Filet de Sole de Lyon met olijven,"boter, citroen, vis",Chardonnay,"Vol, Romig, Droog",Wit
Duitsland,Apfelstrudel Bayerisch met saus,"appel, kaneel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Pulpo a la Gallega Casera met verse basilicum,"aardappel, paprika, inktvis",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Kartoffelsalat vom Grill uit de oven,"ui, aardappel, azijn",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Nederland,Asperges met Ham met Spekjes uit de oven,"boter, ham, asperges",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Gazpacho Andaluz Catalana met verse basilicum,"tomaat, olijfolie, komkommer, knoflook",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Empanadas de la Casa met saus,"paprika, ui, gehakt",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Tortilla Española del Mar met roomsaus,"aardappel, ei, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Insalata Caprese al Forno met kruiden,"olijfolie, basilicum, tomaat",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Forelle Müllerin Rheinisch met truffel,"boter, citroen, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Gazpacho Andaluz del Mar met citroen,"knoflook, komkommer, tomaat",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Bratwurst mit Sauerkraut Klassisch met verse groenten,"zuurkool, aardappel, worst",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Boeuf Bourguignon Régionale van de chef,"rundvlees, ui, rode wijn",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Haring met Ui met Kaas met kruiden,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Sauerbraten nach Oma’s Rezept met saus,"ui, azijn, rundvlees",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Sauerbraten Klassisch met champignons,"ui, rundvlees, azijn",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Rinderroulade Hausgemacht met truffel,"rundvlees, mosterd, augurk",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Chorizo al Vino Casera met kruiden,"knoflook, chorizo, rode wijn",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Rinderroulade nach Oma’s Rezept met saus,"mosterd, rundvlees, augurk",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Patatas Bravas Tradicional speciale editie,"tomaat, paprika, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Risotto ai Funghi alla Casa met roomsaus,"paddenstoelen, boter, room, rijst",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Bratwurst mit Sauerkraut Klassisch met olijven,"zuurkool, worst, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Spaghetti alle Vongole Rustico met champignons,"witte wijn, knoflook, venusschelpen",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Asperges met Ham Hollands uit de oven,"asperges, ham, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Pannenkoeken met Appel van het Huis met saus,"melk, appel, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Bratwurst mit Sauerkraut Bayerisch met kruiden,"zuurkool, aardappel, worst",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Insalata Caprese Tradizionale met roomsaus,"mozzarella, olijfolie, basilicum",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Canard à l’Orange Régionale met kruiden,"eend, honing, sinaasappel, boter",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Empanadas del Norte met verse groenten,"ui, gehakt, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Spaghetti alle Vongole alla Toscana met champignons,"knoflook, olijfolie, witte wijn, venusschelpen",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Poulet à la Crème à la Crème met champignons,"boter, room, kip, champignons",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Filet de Sole au Vin van de chef,"vis, peterselie, citroen, boter",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Gazpacho Andaluz Catalana met champignons,"knoflook, olijfolie, komkommer",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Bratwurst mit Sauerkraut nach Oma’s Rezept met truffel,"zuurkool, worst, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Tortilla Española Tradicional met saus,"ui, aardappel, ei",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Zalm met Dillesaus van het Huis met verse groenten,"dille, zalm, citroen",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Canard à l’Orange au Vin met citroen,"eend, honing, boter",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Zalm met Dillesaus Hollands met champignons,"zalm, dille, citroen",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Entrecôte au Poivre Régionale met verse basilicum,"rundvlees, peper, room",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Cassoulet Régionale met citroen,"vlees, tomaat, bonen",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Poulet à la Crème de Lyon met champignons,"boter, champignons, room",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Risotto ai Funghi al Forno met champignons,"boter, paddenstoelen, rijst, room, kaas",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Apfelstrudel Bayerisch met roomsaus,"kaneel, appel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Bruschetta al Pomodoro alla Casa met citroen,"stokbrood, basilicum, olijfolie, tomaat",Prosecco,"Fris, Mousserend, Licht",Mousserend
Nederland,Zalm met Dillesaus Ouderwets met verse basilicum,"zalm, citroen, dille",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Pasta all’Amatriciana Tradizionale met roomsaus,"tomaat, peper, ui",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Tiramisu Rustico met kruiden,"cacao, suiker, koffie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Duitsland,Apfelstrudel nach Oma’s Rezept met champignons,"appel, deeg, kaneel",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Tiramisu alla Toscana van de chef,"suiker, cacao, koffie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Duitsland,Kartoffelsalat Klassisch uit de oven,"ui, azijn, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Risotto ai Funghi Tradizionale van de chef,"paddenstoelen, boter, room, rijst, kaas",Pinot Grigio,"Fris, Licht, Droog",Wit
Duitsland,Kartoffelsalat nach Oma’s Rezept met citroen,"aardappel, azijn, ui",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Nederland,Kibbeling van het Huis met champignons,"beslag, citroen, witvis",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Kibbeling Ouderwets met truffel,"witvis, beslag, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Lasagne alla Bolognese Rustico met verse basilicum,"ui, kaas, knoflook, gehakt",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Pulpo a la Gallega Andaluz met truffel,"paprika, aardappel, inktvis",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Bratwurst mit Sauerkraut Bayerisch met champignons,"worst, aardappel, zuurkool",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Bistecca alla Fiorentina del Mare met roomsaus,"rundvlees, rozemarijn, olijfolie, peper",Chianti,"Droog, Kruidig, Vol",Rood
Duitsland,Kartoffelsalat Hausgemacht speciale editie,"ui, aardappel, azijn",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Tortilla Española Catalana van de chef,"ei, aardappel, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Kipspies met Paprika Hollands met roomsaus,"ui, kip, paprika",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Bratwurst mit Sauerkraut nach Oma’s Rezept met roomsaus,"worst, zuurkool, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Italië,Bruschetta al Pomodoro alla Toscana met saus,"tomaat, stokbrood, olijfolie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Spanje,Albondigas en Salsa Casera met verse basilicum,"tomatensaus, gehaktballetjes, ui",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Kipspies met Paprika Ouderwets met roomsaus,"ui, paprika, kip",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Forelle Müllerin Rheinisch met verse basilicum,"boter, citroen, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Merluza a la Plancha Casera uit de oven,"citroen, peterselie, heek",Albariño,"Fris, Aromatisch, Zacht",Wit
Italië,Lasagne alla Bolognese del Mare met truffel,"kaas, knoflook, ui",Chianti,"Droog, Kruidig, Vol",Rood
Duitsland,Forelle Müllerin Bayerisch met kruiden,"citroen, boter, forel",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Bratwurst mit Sauerkraut vom Grill speciale editie,"zuurkool, worst, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Quiche Lorraine Provençale met champignons,"eieren, room, kaas",Chardonnay,"Vol, Romig, Droog",Wit
Duitsland,Rinderroulade Bayerisch met kruiden,"mosterd, augurk, rundvlees",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Duitsland,Apfelstrudel Bayerisch met kruiden,"appel, kaneel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Paella Valenciana Tradicional met roomsaus,"rijst, garnalen, kip",Tempranillo,"Aards, Vol, Krachtig",Rood
Nederland,Zalm met Dillesaus Ambachtelijk speciale editie,"dille, citroen, zalm",Rosé,"Licht, Fruitig, Fris",Rosé
Nederland,Zalm met Dillesaus Hollands uit de oven,"dille, citroen, zalm",Rosé,"Licht, Fruitig, Fris",Rosé
Frankrijk,Boeuf Bourguignon Régionale met truffel,"rundvlees, wortel, tijm, rode wijn",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Pannenkoeken met Appel Hollands met olijven,"appel, melk, bloem",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Apfelstrudel Hausgemacht met verse groenten,"appel, kaneel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Rinderroulade Hausgemacht met roomsaus,"augurk, rundvlees, mosterd",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Cassoulet de Lyon met citroen,"tomaat, worst, vlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Duitsland,Bratwurst mit Sauerkraut Hausgemacht met citroen,"worst, zuurkool, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Frankrijk,Canard à l’Orange au Vin met roomsaus,"sinaasappel, boter, eend",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Magret de Canard de Lyon met champignons,"rode wijnsaus, eend, aardappelgratin",Syrah,"Krachtig, Kruidig, Stevig",Rood
Duitsland,Apfelstrudel Rheinisch speciale editie,"kaneel, appel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Quiche Lorraine Régionale met verse basilicum,"eieren, spek, room",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Entrecôte au Poivre Provençale met truffel,"peper, rundvlees, room",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Pasta all’Amatriciana al Forno met champignons,"tomaat, ui, guanciale, pecorino, peper",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Patatas Bravas Casera met saus,"paprika, aardappel, tomaat",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Kibbeling Ouderwets met verse basilicum,"witvis, beslag, citroen",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Kartoffelsalat Hausgemacht met champignons,"aardappel, azijn, ui",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Tortilla Española Catalana met champignons,"ei, ui, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Pasta all’Amatriciana Classico uit de oven,"peper, tomaat, guanciale, pecorino, ui",Chianti,"Droog, Kruidig, Vol",Rood
Nederland,Kibbeling Ouderwets met roomsaus,"citroen, beslag, witvis",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Pasta all’Amatriciana al Forno van de chef,"pecorino, guanciale, tomaat, ui, peper",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Boeuf Bourguignon Provençale met verse basilicum,"ui, wortel, tijm",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Bruschetta al Pomodoro Rustico van de chef,"stokbrood, tomaat, basilicum, olijfolie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Cassoulet Traditionnel met verse groenten,"worst, vlees, bonen, tomaat",Syrah,"Krachtig, Kruidig, Stevig",Rood
Italië,Bistecca alla Fiorentina del Mare met champignons,"rundvlees, peper, citroen, olijfolie, rozemarijn",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Patatas Bravas Andaluz met truffel,"aardappel, tomaat, paprika",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Bistecca alla Fiorentina Classico met truffel,"rozemarijn, olijfolie, citroen, peper",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Canard à l’Orange à la Crème met verse groenten,"sinaasappel, eend, boter",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Filet de Sole au Vin met saus,"vis, peterselie, citroen",Chardonnay,"Vol, Romig, Droog",Wit
Nederland,Haring met Ui met Kaas uit de oven,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Pulpo a la Gallega Tradicional van de chef,"inktvis, aardappel, paprika",Albariño,"Fris, Aromatisch, Zacht",Wit
Italië,Bistecca alla Fiorentina Tradizionale met verse groenten,"rundvlees, rozemarijn, olijfolie, peper, citroen",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Paella Valenciana Andaluz met kruiden,"garnalen, saffraan, rijst, kip",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Gazpacho Andaluz Catalana met truffel,"knoflook, tomaat, olijfolie",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Coq au Vin Provençale met truffel,"champignons, spekjes, rode wijn, ui, kip",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Pasta all’Amatriciana Rustico met verse basilicum,"guanciale, tomaat, pecorino",Chianti,"Droog, Kruidig, Vol",Rood
Nederland,Zalm met Dillesaus met Kaas met kruiden,"citroen, dille, zalm",Rosé,"Licht, Fruitig, Fris",Rosé
Spanje,Albondigas en Salsa de la Casa met roomsaus,"ui, tomatensaus, gehaktballetjes",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Paella Valenciana Catalana van de chef,"kip, rijst, saffraan",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Spaghetti alle Vongole alla Casa met verse basilicum,"knoflook, olijfolie, venusschelpen, witte wijn",Pinot Grigio,"Fris, Licht, Droog",Wit
Nederland,Haring met Ui met Kaas met verse groenten,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Boeuf Bourguignon Maison speciale editie,"wortel, ui, rode wijn, rundvlees",Pinot Noir,"Elegant, Droog, Licht",Rood
Frankrijk,Filet de Sole au Vin met olijven,"peterselie, boter, vis",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Bruschetta al Pomodoro del Mare met olijven,"tomaat, stokbrood, basilicum, olijfolie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Italië,Fritto Misto alla Casa uit de oven,"inktvis, bloem, citroen, garnalen",Prosecco,"Fris, Mousserend, Licht",Mousserend
Duitsland,Bratwurst mit Sauerkraut Rheinisch met citroen,"worst, zuurkool, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Spanje,Patatas Bravas Catalana met roomsaus,"paprika, aardappel, tomaat",Garnacha,"Fruitig, Rond, Zacht",Rood
Spanje,Empanadas del Mar met verse groenten,"paprika, gehakt, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Duitsland,Apfelstrudel vom Grill met verse groenten,"appel, kaneel, deeg",Riesling,"Zoet, Fris, Aromatisch",Wit
Spanje,Gazpacho Andaluz Tradicional met saus,"olijfolie, knoflook, tomaat, komkommer",Albariño,"Fris, Aromatisch, Zacht",Wit
Spanje,Chorizo al Vino Catalana met verse basilicum,"chorizo, rode wijn, knoflook",Tempranillo,"Aards, Vol, Krachtig",Rood
Duitsland,Kartoffelsalat Bayerisch met roomsaus,"azijn, ui, aardappel",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
Nederland,Haring met Ui met Kaas met roomsaus,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Italië,Spaghetti alle Vongole del Mare met saus,"venusschelpen, olijfolie, knoflook, witte wijn",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Bistecca alla Fiorentina al Forno met champignons,"citroen, peper, rundvlees",Chianti,"Droog, Kruidig, Vol",Rood
Italië,Fritto Misto alla Casa met saus,"citroen, bloem, garnalen, inktvis",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Poulet à la Crème à la Crème speciale editie,"champignons, kip, room, boter",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Filet de Sole à la Crème met kruiden,"vis, peterselie, citroen",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Boeuf Bourguignon à la Crème met truffel,"ui, rode wijn, wortel, rundvlees, tijm",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Tiramisu alla Toscana met champignons,"eieren, mascarpone, cacao, suiker, koffie",Prosecco,"Fris, Mousserend, Licht",Mousserend
Frankrijk,Quiche Lorraine Traditionnel met saus,"eieren, kaas, room, spek",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Quiche Lorraine au Vin met champignons,"spek, room, eieren, kaas",Chardonnay,"Vol, Romig, Droog",Wit
Spanje,Pulpo a la Gallega del Norte met saus,"inktvis, aardappel, paprika",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Poulet à la Crème à la Crème met roomsaus,"kip, room, boter, champignons",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Entrecôte au Poivre Maison speciale editie,"rundvlees, room, peper",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Tortilla Española Casera met champignons,"aardappel, ei, ui",Garnacha,"Fruitig, Rond, Zacht",Rood
Nederland,Asperges met Ham met Kaas met citroen,"boter, ham, asperges",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Entrecôte au Poivre au Vin met kruiden,"peper, rundvlees, room",Syrah,"Krachtig, Kruidig, Stevig",Rood
Nederland,Kibbeling Hollands met verse groenten,"witvis, citroen, beslag",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Entrecôte au Poivre de Lyon met truffel,"room, peper, rundvlees",Syrah,"Krachtig, Kruidig, Stevig",Rood
Frankrijk,Quiche Lorraine Traditionnel met olijven,"kaas, eieren, room, spek",Chardonnay,"Vol, Romig, Droog",Wit
Frankrijk,Canard à l’Orange à la Crème met champignons,"boter, honing, sinaasappel",Pinot Noir,"Elegant, Droog, Licht",Rood
Nederland,Pannenkoeken met Appel Ambachtelijk van de chef,"bloem, appel, melk",Rosé,"Licht, Fruitig, Fris",Rosé
Italië,Insalata Caprese del Mare met truffel,"basilicum, tomaat, mozzarella",Pinot Grigio,"Fris, Licht, Droog",Wit
Italië,Pasta all’Amatriciana Classico met kruiden,"guanciale, pecorino, peper, tomaat",Chianti,"Droog, Kruidig, Vol",Rood
Nederland,Kipspies met Paprika Ouderwets met olijven,"paprika, kip, ui",Rosé,"Licht, Fruitig, Fris",Rosé
Duitsland,Forelle Müllerin Bayerisch met olijven,"citroen, forel, boter",Riesling,"Zoet, Fris, Aromatisch",Wit
Nederland,Haring met Ui met Spekjes speciale editie,"haring, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Frankrijk,Boeuf Bourguignon Maison met saus,"rode wijn, rundvlees, wortel, ui, tijm",Pinot Noir,"Elegant, Droog, Licht",Rood
Italië,Risotto ai Funghi Tradizionale met kruiden,"kaas, paddenstoelen, boter",Pinot Grigio,"Fris, Licht, Droog",Wit
Spanje,Albondigas en Salsa Catalana met roomsaus,"gehaktballetjes, ui, tomatensaus",Tempranillo,"Aards, Vol, Krachtig",Rood
Spanje,Chorizo al Vino Andaluz met verse groenten,"rode wijn, knoflook, chorizo",Tempranillo,"Aards, Vol, Krachtig",Rood
Italië,Lasagne alla Bolognese al Forno met verse groenten,"tomaat, ui, knoflook",Chianti,"Droog, Kruidig, Vol",Rood
Spanje,Patatas Bravas Catalana met kruiden,"tomaat, paprika, aardappel",Garnacha,"Fruitig, Rond, Zacht",Rood
Italië,Spaghetti alle Vongole al Forno van de chef,"olijfolie, venusschelpen, witte wijn, knoflook",Pinot Grigio,"Fris, Licht, Droog",Wit
Frankrijk,Poulet à la Crème Maison met saus,"boter, kip, room",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Pasta all’Amatriciana al Forno uit de oven,"pecorino, ui, peper",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Entrecôte au Poivre à la Crème uit de oven,"rundvlees, peper, room",Syrah,"Krachtig, Kruidig, Stevig",Rood
Spanje,Gazpacho Andaluz de la Casa van de chef,"knoflook, olijfolie, tomaat, komkommer",Albariño,"Fris, Aromatisch, Zacht",Wit
Frankrijk,Poulet à la Crème à la Crème met verse basilicum,"room, kip, boter, champignons",Chardonnay,"Vol, Romig, Droog",Wit
Italië,Bistecca alla Fiorentina alla Toscana met truffel,"rundvlees, rozemarijn, peper",Chianti,"Droog, Kruidig, Vol",Rood
Frankrijk,Canard à l’Orange Régionale speciale editie,"sinaasappel, honing, boter, eend",Pinot Noir,"Elegant, Droog, Licht",Rood
Spanje,Gazpacho Andaluz Andaluz met saus,"knoflook, komkommer, tomaat",Albariño,"Fris, Aromatisch, Zacht",Wit
Duitsland,Sauerbraten Hausgemacht met truffel,"azijn, rundvlees, ui",Riesling,"Zoet, Fris, Aromatisch",Wit
Duitsland,Rinderroulade Hausgemacht met olijven,"mosterd, augurk, rundvlees",Spätburgunder,"Elegant, Rood fruit, Droog",Rood
